key,text,duration
../data/AMHARIC/data/train/wav/tr_10000_tr097082.wav,የተለያዩ የ ትግራይ አውራጃ ተወላጆች ገንዘባቸው ን አዋጥ ተው የ ልማት ተቋማትን እንዲ መሰርቱ ትልማ አይ ፈቅድ ም,9.088
../data/AMHARIC/data/train/wav/tr_10001_tr097083.wav,የ ጠመንጃ ተኩስ ተከፈተ ና አራት የኤርትራ ወታደሮች ተገደሉ,5.632
../data/AMHARIC/data/train/wav/tr_10002_tr097084.wav,ላነሷቸው ጥያቄዎች የ ሰጡት ን መልስ አቅርበ ነዋል,6.144
../data/AMHARIC/data/train/wav/tr_10003_tr097085.wav,እ ብዱ አስፋልቱ ላይ የ ኰለኰ ለ ው ድንጋይ መኪና አላ ሳልፍ አለ,5.76
../data/AMHARIC/data/train/wav/tr_10004_tr097086.wav,ጠጁ ን ኰ መኰ መ ኰ መኰ መ ና ሚስቱ ን ሲ ያሰቃ ያት አደረ,5.376
../data/AMHARIC/data/train/wav/tr_10005_tr097087.wav,ድንቹ በ ደንብ ስለተኰተኰተ በ ጥሩ ሁኔታ ኰረተ,6.656
../data/AMHARIC/data/train/wav/tr_10006_tr097088.wav,በ ድህነቱ ላይ ይህ ክፉ በሽታ ስለ ያዘው ሰውነቱ በጣም ኰ ሰሰ,6.528
../data/AMHARIC/data/train/wav/tr_10007_tr097089.wav,በሩን እንዲ ህ በ ሀይል አታንኳኲ ብዬ አልነበረ ም እንዴ,5.504
../data/AMHARIC/data/train/wav/tr_10008_tr097090.wav,በለጠ ች የ በየነ የ በኩር ልጅ ነች,4.48
../data/AMHARIC/data/train/wav/tr_10009_tr097091.wav,የ ቆላ ቁስል ና ቁርጥ ማት በጣም አሰቃቂ በሽታዎች ናቸው,4.864
../data/AMHARIC/data/train/wav/tr_1000_tr11001.wav,ያ ኮምፒ ተር ለ ተጠቃሚው በ ትክክል የሚ ፈለገው ን ነገር እንዲ ያሟላ ማድረግ ነው,7.552
../data/AMHARIC/data/train/wav/tr_10010_tr097092.wav,ባድመ ላይ ያለቀው የኤርትራ ወታደር ስፍር ቁጥር የ ለውም,5.504
../data/AMHARIC/data/train/wav/tr_10011_tr097093.wav,እንዲያ መሬት አይ ን ካ ኝ ይል የነበረ ሰው በ ድንገት ቆረቆዘ አይደል,6.016
../data/AMHARIC/data/train/wav/tr_10012_tr097094.wav,አንበሳው ስጋ ስላ የ አጉረመረ መ,3.328
../data/AMHARIC/data/train/wav/tr_10013_tr097095.wav,ሸክላ ሰሪዋ አ ለሚ ቱ በ ጉልቻ ስራ የታወቀች ነች,5.504
../data/AMHARIC/data/train/wav/tr_10014_tr097096.wav,የተፈራ አተር ቀድሞ ስለ ተዘራ ተ ሎ ጐመራ,4.864
../data/AMHARIC/data/train/wav/tr_10015_tr097097.wav,ባልቻ ጐበዝ ተማሪ ስለሆነ ተሸላሚ እንዲሆን የ ትምህርት ማህበረሰብ በ አንድነት ወሰኑ,7.68
../data/AMHARIC/data/train/wav/tr_10016_tr097098.wav,በ ና ዝሪ ት ከተማ ውስጥ ከሚገኙ ት ቤቶች ሁሉ ጉል ሁ የ ኡመር ቤት ነው,6.912
../data/AMHARIC/data/train/wav/tr_10017_tr097099.wav,ጐስቋላ ው ዳም ጤ ሎተሪ ደረሰው,3.84
../data/AMHARIC/data/train/wav/tr_10018_tr097100.wav,ከበደ ፈረሱ ን ለ ጐመ,3.2
../data/AMHARIC/data/train/wav/tr_10019_tr097101.wav,ትንሽ ልጅ እንጀራ በ ዶሮ ወጥ ከ በላ በኋላ አፉ ን በ ደም ብ ተጉ መጠመጠ,6.528
../data/AMHARIC/data/train/wav/tr_1001_tr11002.wav,ስዊድን ከ ኢትዮጵያ ጋር ያላትን ግንኙነት አስመልክቶ አዲስ የ ትብብር ስልት መነደፉ ን አምባሳደሩ ገልጸዋል,9.344
../data/AMHARIC/data/train/wav/tr_10020_tr097102.wav,ገንፎ ብዙ ጊዜ የሚ በላው በ ጐድጓዳ ሳ ህን ነው,4.608
../data/AMHARIC/data/train/wav/tr_10021_tr097103.wav,አበራሽ የ ሰፈሩ ነገር ቆስቋሽ መሆኗ የ ታወቀ ነው,5.12
../data/AMHARIC/data/train/wav/tr_10022_tr097104.wav,ቤዛ ጐረ መሰ መሰለኝ ትዛዝ አል ቀበል ም አለ,3.584
../data/AMHARIC/data/train/wav/tr_10023_tr097105.wav,እጀ ጐልዳ ፋው ሰው ዬ መጻፍ አይችልም,3.584
../data/AMHARIC/data/train/wav/tr_10024_tr097106.wav,ተድላ በልጅነ ቱ ቆረ በ,3.328
../data/AMHARIC/data/train/wav/tr_10025_tr097107.wav,ወይዘሮ ባ ፋና በ እን ጉር ጉ ሯቸው የ ታወቁ ናቸው,4.992
../data/AMHARIC/data/train/wav/tr_10026_tr097108.wav,ሰውዬው ሚስቱ ን በጣም እንደሚ ወድ በ ለ ሆሳ ስ ነገራት,5.632
../data/AMHARIC/data/train/wav/tr_10027_tr097109.wav,ዛሬ የ በላ ና ት ቀይ ወጥ ሁ ርጥ ያለች ና ት,4.352
../data/AMHARIC/data/train/wav/tr_10028_tr097110.wav,አ በ በ ለ ዶክተሩ ሁለመና ዬን ነው የሚያመ ኝ ብሎ ነገረው,4.608
../data/AMHARIC/data/train/wav/tr_10029_tr097111.wav,የ ቻይና ህዝብ ሁ ልቆ መሳፍርት የ ለውም,3.328
../data/AMHARIC/data/train/wav/tr_1002_tr11003.wav,ሌላው ኢትዮጵያዊ ስ ሊ ሽ ሽ ኔ ስድስተኛ ከ መውጣቱ ጋር ተዳ ም ሮ ኢትዮጵያ ኬንያ ን ተከትላ በ ወጣት ወንዶች በ ቡድን ሁለተኛ ለ መሆን ች ላለች,11.904
../data/AMHARIC/data/train/wav/tr_10030_tr097112.wav,ዘነበ ች ሰራተኛዋ ን አታ ን ጓጉ ብላ ተቆጣ ቻት,4.608
../data/AMHARIC/data/train/wav/tr_10031_tr097113.wav,ት ግስት እህቷ ን ስት ጓጉ ክረ ሚ እንጂ የኔ ን አይነት ሀብል አይገዛ ልሽ ም አለ ቻት,7.808
../data/AMHARIC/data/train/wav/tr_10032_tr097114.wav,አንቺ ልጅ ያ የ ሽውን ነገር ሁሉ ለ ማግኘት አት ጓጉ,4.736
../data/AMHARIC/data/train/wav/tr_10033_tr097115.wav,ኢትዮጵያ ክርስትና ን የ ተቀበለችው በዛ ጔ ስረ ወ መንግስት ነው,5.248
../data/AMHARIC/data/train/wav/tr_10034_tr097116.wav,መጋቢ ብሉይ ተክለ ማሪያም የተወለዱ ት ዳ ጔ ነው,5.76
../data/AMHARIC/data/train/wav/tr_10035_tr097117.wav,አሊ በ ረሀብ ኩ ርምት ብሏል,3.584
../data/AMHARIC/data/train/wav/tr_10036_tr097118.wav,የ ሰርጉ ወጥ ኩ ችም ተደርጐ ነው የ ተሰራው,3.328
../data/AMHARIC/data/train/wav/tr_10037_tr097119.wav,መ ምሩ እንዳስ ተማሩት ከሆነ ህጻናቶች ም ንም ኩነኔ የ ለ ባቸውም,7.168
../data/AMHARIC/data/train/wav/tr_10038_tr097120.wav,ስ ትመለ ሺ በሩን አንኳ ኲ,3.2
../data/AMHARIC/data/train/wav/tr_10039_tr098001.wav,በ መጀመሪያ ደረጃ ወራሪ ሆኖ የ ኢትዮጵያ ግዛት ን መያዙ ን አምኖ ለ መውጣት ተስማም ቷል,5.504
../data/AMHARIC/data/train/wav/tr_1003_tr11004.wav,መለፍለፍ ራሱ ዲሞክራሲያዊ መብት ነው,4.736
../data/AMHARIC/data/train/wav/tr_10040_tr098002.wav,መለስ ና ኢሳያስ ማስጠንቀቂያ ደረሳቸው,3.712
../data/AMHARIC/data/train/wav/tr_10041_tr098003.wav,የኤርትራ ባንዲራ ይውረድ ተብሎ ኤምባሲ ተደበደበ,4.096
../data/AMHARIC/data/train/wav/tr_10042_tr098004.wav,ኢትዮጵያ ን መብት እንደሌላ ት አድርገው ለማቅረብ ሞክረ ዋል,3.456
../data/AMHARIC/data/train/wav/tr_10043_tr098005.wav,የ ጋና ው ፕሬዚዳንት ኢትዮጵያ ና ኤርትራ የ ድንበር ው ዝግባ ቸውን በ ሰላም እንዲ ፈቱ ጥሪ ማቅረባቸው ተገለጠ,5.504
../data/AMHARIC/data/train/wav/tr_10044_tr098006.wav,እሳት አደጋዎች በተ ጠንቀቅ ላይ ናቸው,2.816
../data/AMHARIC/data/train/wav/tr_10045_tr098007.wav,በ አሁኑ ሰአት የቤተ ክርስቲያን ሊቃውንት እንዴት እንደ ተ ና ቁና እንደ ተጠሉ ም ሳይ ናገሩ አ ላለፉ ም,6.272
../data/AMHARIC/data/train/wav/tr_10046_tr098008.wav,ጠዋት የ ጀመርነው ጉዞ የ አዲስ አባ ና የ ኦሮሚያ ክልሎች ን በ ማገባደድ ጥቁር ውሀ ላይ ደረሰ,5.376
../data/AMHARIC/data/train/wav/tr_10047_tr098009.wav,አንድ የመንግስት መላክ ተኛ እንኳ ን ንግስተ ነገስቱ ን ያገሩ ን ህዝብ ሊ ያከብሩ ይገባል እንጂ ትናንት እንደ ሰራኸው ያለ ሊ ሰራ አይገባም,7.424
../data/AMHARIC/data/train/wav/tr_10048_tr098010.wav,በ አገሪቱ ደረጃ የ ባንኩ ቋሚ ና ተንቀሳቃሽ ንብረቶች ያሉበት ን ሁኔታ መገምገም ና ተያያዥ ስራዎች ን ማከናወን በ ሶስተኛነት የ ተጠቀሰ አላማ ነው,8.576
../data/AMHARIC/data/train/wav/tr_10049_tr098011.wav,ሁሴን አይዲድ ወንጀለኛ ናቸው ኢትዮጵያ ጸጥታ ዋን የ ማስከበር መብት አላ ት,4.48
../data/AMHARIC/data/train/wav/tr_1004_tr11005.wav,በ ገዳማት የሚገኙ አበው ና መነኮሳት የ እመቤታችን ን ፍቅር ተላብ ሰው በ እፍኝ ቆሎ ና በ ጥር ኝ ውሀ ተ ወስነው ሱባኤ ያቸውን የሚይዙ በት ወቅት ነው,13.568
../data/AMHARIC/data/train/wav/tr_10050_tr098012.wav,መናገራቸው ን ምንጮቹ አስረድ ተዋል,3.84
../data/AMHARIC/data/train/wav/tr_10051_tr098013.wav,ኤርትራ ሚግ ሀያ አንድ ገዛ ች,4.096
../data/AMHARIC/data/train/wav/tr_10052_tr098014.wav,በ ጉንፋን የ ዘገዩ ት አንቶኒ ሌክ ሀሙስ አዲስ አበባ ይገባ ሉ,4.096
../data/AMHARIC/data/train/wav/tr_10053_tr098015.wav,የ ኮርቴክ ኩባንያ ጂኦሎጂ ስት የሆኑት ኒክ ኖርማ ን እንደ ገለጹት ከ አካባቢው የተ ወሰዱት ናሙና ዎች ምርመራ ቀጣይ የ ማእድን ፍለጋ የሚ ያበረታታ ና ተገቢ የሚያደርግ በቂ መረጃ ጠቁ መዋል,11.008
../data/AMHARIC/data/train/wav/tr_10054_tr098016.wav,ኮሌጆቹ በ መዘጋታቸው ምክንያት አብዛኞቹ ተማሪዎች ወደ የ መጡበት ተ መልሰዋል,4.608
../data/AMHARIC/data/train/wav/tr_10055_tr098017.wav,ተባባሪ መንገደኞች ም ይህን ይናገሩ ታል,2.944
../data/AMHARIC/data/train/wav/tr_10056_tr098018.wav,የ ኢትዮጵያ የ ህግ ባለሙያ ሴቶች ማህበር ክስ መሰረተ,3.328
../data/AMHARIC/data/train/wav/tr_10057_tr098019.wav,የ ጣቢያው ንም ሀላፊዎች ስን ጠይቅ እኛ የ እናንተ ጉዳይ አያገባ ንም ብለው ናል,4.736
../data/AMHARIC/data/train/wav/tr_10058_tr098020.wav,ወደ ኬንያ የ ኮበለሉ ት ሁለት አስር አለቃ ና አምስት ወታደሮች ናቸው ተ ባለ,4.992
../data/AMHARIC/data/train/wav/tr_10059_tr098021.wav,አንዳንዶች ጋዜጠኞች ለ ኢትዮጵያውያ ን በ ውን አስቸጋሪ ሆነዋል,4.48
../data/AMHARIC/data/train/wav/tr_1005_tr11006.wav,የ ኤርትራውያን ቤት ነዋሪው ን ህብረተሰብ እያ ፋጀ ነው,7.168
../data/AMHARIC/data/train/wav/tr_10060_tr098022.wav,እኛ እንደ ውም የኤርትራ መንግስት ም ምርኮኛ አድርጐ የ ያዛቸው ን ኢትዮጵያውያ ን ን እንዲ ለቅ እን ጠይቃ ለ ን ሲሉ ገልጿ ል,5.888
../data/AMHARIC/data/train/wav/tr_10061_tr098023.wav,ፕሮፌሰር አስራት ተሽ ሏቸው ከ ሆስፒታል ወጡ,2.816
../data/AMHARIC/data/train/wav/tr_10062_tr098024.wav,በደሴ ከተማ አስራ ስድስት ሱቆች ን ያቃጠ ለ ችው ኤርትራዊ ት ተያዘች,5.888
../data/AMHARIC/data/train/wav/tr_10063_tr098025.wav,ጣሊያን ሄሊኮፍተሮች እንድታ ዋጣ ተ ጠየቀች,3.2
../data/AMHARIC/data/train/wav/tr_10064_tr098026.wav,ሻእቢያ ዜጐች ን ኢትዮጵያዊ እ ያሰኘ የ ፈጸመው ኢኮኖሚያዊ ምዝበራ ተጋለጠ,4.608
../data/AMHARIC/data/train/wav/tr_10065_tr098027.wav,ዶክተር በየነ ጴጥሮስ ገልጸዋል,2.432
../data/AMHARIC/data/train/wav/tr_10066_tr098028.wav,የ ኢንቨስትመንት አዋጁ ፖስታ ና ቴሌ ን ለ ባለ ሀብቶች መልቀቅ አለ በት,4.48
../data/AMHARIC/data/train/wav/tr_10067_tr098029.wav,ጥያቄ ያችን ጆንያ ሙሉ ነው,2.176
